indicator,an,valoare
Număr de unități de cazare,2005-01-01T00:00:00,56
Număr de unități de cazare,2006-01-01T00:00:00,65
Număr de unități de cazare,2007-01-01T00:00:00,64
Număr de unități de cazare,2008-01-01T00:00:00,64
Număr de unități de cazare,2009-01-01T00:00:00,70
Număr de unități de cazare,2010-01-01T00:00:00,79
Număr de unități de cazare,2011-01-01T00:00:00,85
Număr de unități de cazare,2012-01-01T00:00:00,102
Număr de unități de cazare,2013-01-01T00:00:00,107
Număr de unități de cazare,2014-01-01T00:00:00,100
Număr de unități de cazare,2015-01-01T00:00:00,95
Număr de unități de cazare,2016-01-01T00:00:00,95
Număr de unități de cazare,2017-01-01T00:00:00,95
Număr de unități de cazare,2018-01-01T00:00:00,101
Număr de unități de cazare,2019-01-01T00:00:00,93
Număr de unități de cazare Hotel,1990-01-01T00:00:00,7
Număr de unități de cazare Hotel,1991-01-01T00:00:00,4
Număr de unități de cazare Hotel,1992-01-01T00:00:00,8
Număr de unități de cazare Hotel,1993-01-01T00:00:00,8
Număr de unități de cazare Hotel,1994-01-01T00:00:00,10
Număr de unități de cazare Hotel,1995-01-01T00:00:00,10
Număr de unități de cazare Hotel,1996-01-01T00:00:00,8
Număr de unități de cazare Hotel,1997-01-01T00:00:00,11
Număr de unități de cazare Hotel,1998-01-01T00:00:00,12
Număr de unități de cazare Hotel,1999-01-01T00:00:00,13
Număr de unități de cazare Hotel,2000-01-01T00:00:00,14
Număr de unități de cazare Hotel,2001-01-01T00:00:00,16
Număr de unități de cazare Hotel,2002-01-01T00:00:00,17
Număr de unități de cazare Hotel,2003-01-01T00:00:00,19
Număr de unități de cazare Hotel,2004-01-01T00:00:00,20
Număr de unități de cazare Hotel,2005-01-01T00:00:00,26
Număr de unități de cazare Hotel,2006-01-01T00:00:00,31
Număr de unități de cazare Hotel,2007-01-01T00:00:00,32
Număr de unități de cazare Hotel,2008-01-01T00:00:00,32
Număr de unități de cazare Hotel,2009-01-01T00:00:00,34
Număr de unități de cazare Hotel,2010-01-01T00:00:00,38
Număr de unități de cazare Hotel,2011-01-01T00:00:00,44
Număr de unități de cazare Hotel,2012-01-01T00:00:00,49
Număr de unități de cazare Hotel,2013-01-01T00:00:00,49
Număr de unități de cazare Hotel,2014-01-01T00:00:00,51
Număr de unități de cazare Hotel,2015-01-01T00:00:00,44
Număr de unități de cazare Hotel,2016-01-01T00:00:00,44
Număr de unități de cazare Hotel,2017-01-01T00:00:00,42
