TURISM,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
Număr de unități de cazare,93,101,95,95,95,100,107,102,85,79,70,64,64,65,56,,,,,,,,,,,,,,,
Număr de unități de cazare Hotel,39,44,42,44,44,51,49,49,44,38,34,32,32,31,26,20,19,17,16,14,13,12,11,8,10,10,8,8,4,7
Număr de unități de cazare Vilă turistică,,,,3,3,2,2,2,1,1,1,1,1,2,2,,,,,,,,,,,,,,,
Număr de unități de cazare Hostel,11,12,10,9,9,7,7,5,2,2,3,,,,,,,,,,,,,,,,,,,
Număr de unități de cazare Camping,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1
Număr de unități de cazare Pensiuni turistice,37,38,38,37,37,39,50,47,38,37,31,27,27,28,24,20,11,11,6,,,,,,,,,,,
Număr de unități de cazare Motel,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,3,1
Număr de unități de cazare Hotel pentru tineret,,,,,,,,,,,,3,3,3,3,1,1,1,2,,,,,,,,,,,
Număr de unități de cazare Pensiuni agroturistice,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Număr de unități de cazare Tabere de elevi și preșcolari,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
Capacitate de cazare (cazări pe an per tip de unitate),1699772,1829678,1887158,1861569,1829564,1809947,1802919,1745628,1562912,1400855,1306825,1313955,1264266,1192351,1056859,918458,821848,748280,717455,,,,,,,,,,,
Capacitate de cazare Hotel,1166167,1238996,1313281,1334207,1316203,1325877,1265685,1269959,1164869,1058689,978067,971308,937672,878046,764517,649033,587577,484820,531781,,,,,,,,,,,
Capacitate de cazare Vilă turistică,,,,,,,22180,22180,22586,22866,22452,4742,504,8712,8836,14812,15492,17520,18980,,,,,,,,,,,
Capacitate de cazare Hostel,160443,171940,177315,177937,147478,124198,125019,78133,22936,19166,27726,,,,,,,,,,,,,,,,,,,
Capacitate de cazare Camping,31720,47840,55640,,31720,79040,89860,89760,94900,94900,94900,95160,94900,93452,91980,89918,114388,145558,89570,,,,,,,,,,,
Capazitate de cazare Pensiuni turistice,291412,311897,281572,287597,268507,271020,321851,307776,280207,227480,206132,220295,204428,186591,170888,157375,97091,91822,64168,,,,,,,,,,,
Capacitate de cazare Pensiuni agroturistice,7060,7260,7280,10100,12594,2996,,,,,,,,,,,,,,,,,,,,,,,,
Capacitate de cazare Hotel pentru tineret,,,,,,,,,,,,27192,27266,25550,19708,7320,7300,8560,12956,,,,,,,,,,,
Capacitate de cazare Tabere de elevi si preșcolari,,11315,11284,10562,12410,2074,,,,,,,,,,,,,,,,,,,,,,,,
Capacitate de cazare Hoteluri apartament,20790,18250,18200,18300,18200,,,,,,,,,,,,,,,,,,,,,,,,,
Numărul sosirilor anuale ale turiștilor Hotel,246478,238738,256402,241075,221164,194146,177865,186215,177489,146389,145303,187983,195426,167975,138544,125663,118359,109792,127462,,,,,,,,,,,
Numărul sosirilor anuale ale turiștilor Vilă turistică,3004,1912,2420,2209,2211,279,26,,,,,,,795,710,713,432,1029,1386,,,,,,,,,,,
Numărul sosirilor anuale ale turiștilor Hostel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Numărul sosirilor anuale ale turiștilor Camping,309,378,372,,113,72,3173,3732,3772,3616,5374,6910,7769,6932,5618,6391,5092,5276,6877,,,,,,,,,,,
Numărul sosirilor anuale ale turiștilor Pensiuni turistice,46754,45927,43721,39684,36359,31451,32416,32050,28573,25889,23693,27718,25172,19083,14761,13053,7375,6590,4906,,,,,,,,,,,
Numărul sosirilor anuale ale turiștilor Pensiuni agro turistice,429,587,467,748,1715,130,,,,,,,,,,,,,,,,,,,,,,,,
Numărul sosirilor anuale ale turiștilor Hosteluri,24643,24195,26366,25086,14860,9482,10991,5549,1045,1018,1157,,,,,,,,,,,,,,,,,,,
Numărul sosirilor anuale ale turiștilor Hoteluri apartament,3576,2823,2490,2354,2246,,,,,,,,,,,,,,,,,,,,,,,,,
Numărul sosirilor anuale ale turiștilor Tabere de elevi si prescolari,,839,1220,994,681,132,,,,,,,,,,,,,,,,,,,,,,,,
Numărul de înnoptări anuale ale turiștilor,709626,702422,682063,665285,577717,482074,456000,434044,388104,331997,311718,405162,396595,379536,307697,283008,241987,221453,269070,,,,,,,,,,,
Numărul de înnoptări anuale ale turiștilor Hotel,523898,515446,516394,491310,436615,382187,347471,353078,327585,275811,256320,330215,330754,321384,262183,243142,216848,193834,241253,,,,,,,,,,,
Numărul de înnoptări anuale ale turiștilor Vilă turistică,5384,3621,4591,4357,4061,569,56,,,,,,,1656,1552,1399,860,1775,2724,,,,,,,,,,,
Numărul de înnoptări anuale ale turiștilor Pensiuni agroturistice,606,817,714,1292,2568,370,,,,,,,,,,,,,,,,,,,,,,,,
Numărul de înnoptări anuale ale turiștilor Camping,734,1046,693,,231,97,4388,5167,5944,5213,8462,11773,14754,11754,10359,11371,8733,9742,12085,,,,,,,,,,,
Numărul de înnoptări anuale ale turiștilor Pensiuni turistice,89514,85540,83013,77892,72522,62042,61304,62485,53159,49825,45480,59002,47362,40567,29706,25551,14841,13438,10200,,,,,,,,,,,
Numărul de înnoptări anuale ale turiștilor Tabere de elevi si prescolari,,1891,2871,2064,2125,642,,,,,,,,,,,,,,,,,,,,,,,,
